LATITUDE,LONGITUDE,ZIP_CODE,BOROUGH
40.824757,-73.94052,10039,MANHATTAN
40.840508,-73.85515,10462,BRONX
40.744232,-73.861275,11368,QUEENS
40.67743,-73.87591,11208,BROOKLYN
40.824898,-73.927635,10451,BRONX
40.84497,-73.90247,10457,BRONX
40.62183,-73.98693,11204,BROOKLYN
40.688877,-73.98991,11201,BROOKLYN
40.67114,-73.76741,11434,QUEENS
40.826176,-73.93877,10039,MANHATTAN
40.861862,-73.91275,10453,BRONX
40.657658,-73.90377,11212,BROOKLYN
40.75415,-73.90877,11377,QUEENS
40.736164,-73.97891,10010,MANHATTAN
40.812263,-73.92059,10454,BRONX
40.709866,-73.91119,11385,QUEENS
40.75734,-73.98602,10036,MANHATTAN
40.839924,-73.895645,10457,BRONX
40.65153,-73.96303,11226,BROOKLYN
40.75702,-73.83868,11354,QUEENS
40.828518,-73.84119,10465,BRONX
40.739204,-74.00336,10014,MANHATTAN
40.61662,-73.99972,11204,BROOKLYN
40.77861,-73.84249,11356,QUEENS
40.738873,-73.863625,11368,QUEENS
40.674664,-73.97025,11238,BROOKLYN
40.827168,-73.870125,10472,BRONX
40.585747,-73.948845,11235,BROOKLYN
40.635933,-74.12147,10310,STATEN ISLAND
40.70654,-73.95041,11211,BROOKLYN
40.71391,-73.77865,11432,QUEENS
40.700424,-73.75885,11412,QUEENS
40.586067,-73.82263,11694,QUEENS
40.724693,-73.7541,11427,QUEENS
40.87485,-73.84935,10469,BRONX
40.69071,-73.87013,11208,BROOKLYN
40.8677,-73.85673,10469,BRONX
40.695427,-73.8386,11418,QUEENS
40.634792,-74.032326,11209,BROOKLYN
40.837456,-73.93869,10032,MANHATTAN
40.717464,-73.95814,11249,BROOKLYN
40.822308,-73.93859,10039,MANHATTAN
40.640396,-73.956375,11226,BROOKLYN
40.59793,-73.9855,11223,BROOKLYN
40.78801,-73.844734,11356,QUEENS
40.739674,-73.934586,11101,QUEENS
40.65882,-73.94853,11225,BROOKLYN
40.877796,-73.86806,10467,BRONX
40.594265,-73.950455,11229,BROOKLYN
40.751884,-73.96759,10017,MANHATTAN
40.613075,-74.12257,10314,STATEN ISLAND
40.620914,-73.9753,11204,BROOKLYN
40.66065,-73.89222,11207,BROOKLYN
40.861046,-73.85174,10469,BRONX
40.886883,-73.831215,10466,BRONX
40.678738,-73.89887,11207,BROOKLYN
40.624763,-73.91778,11234,BROOKLYN
40.683754,-73.88565,11208,BROOKLYN
40.68419,-73.8703,11208,BROOKLYN
40.581226,-73.94511,11235,BROOKLYN
40.597668,-73.78534,11692,QUEENS
40.741024,-73.97862,10016,MANHATTAN
40.713135,-74.00407,10007,MANHATTAN
40.748707,-73.867874,11368,QUEENS
40.678345,-73.985435,11215,BROOKLYN
40.861923,-73.89357,10458,BRONX
40.836113,-73.88738,10460,BRONX
40.635406,-73.94114,11210,BROOKLYN
40.642597,-73.89948,11236,BROOKLYN
40.75208,-73.881905,11372,QUEENS
40.674503,-73.83773,11417,QUEENS
40.655422,-73.95007,11226,BROOKLYN
40.65862,-73.8905,11207,BROOKLYN
40.680164,-73.84095,11417,QUEENS
40.629383,-73.94525,11210,BROOKLYN
40.712757,-73.90225,11385,QUEENS
40.606907,-73.9705,11223,BROOKLYN
40.670116,-73.92248,11233,BROOKLYN
40.813553,-73.8563,10473,BRONX
40.825573,-73.918465,10451,BRONX
40.79175,-73.96702,10025,MANHATTAN
40.66331,-73.92106,11212,BROOKLYN
40.684273,-73.87238,11208,BROOKLYN
40.594616,-74.12555,10314,STATEN ISLAND
40.82672,-73.8966,10459,BRONX
40.762756,-73.82261,11354,QUEENS
40.689133,-73.87441,11208,BROOKLYN
40.714077,-73.95581,11211,BROOKLYN
40.80948,-73.90302,10455,BRONX
40.700703,-73.752,11412,QUEENS
40.88845,-73.841965,10466,BRONX
40.724136,-73.992615,10012,MANHATTAN
40.723648,-73.99103,10002,MANHATTAN
40.592102,-73.956085,11235,BROOKLYN
40.588863,-73.92454,11229,BROOKLYN
40.684383,-73.79018,11434,QUEENS
40.66883,-73.88131,11208,BROOKLYN
40.680035,-73.9055,11207,BROOKLYN
40.63945,-74.022224,11220,BROOKLYN
40.724396,-73.91453,11378,QUEENS
40.827904,-73.87901,10472,BRONX
40.832863,-73.94204,10032,MANHATTAN
40.841496,-73.92486,10452,BRONX
40.885715,-73.90895,10463,BRONX
40.615536,-74.034294,11209,BROOKLYN
40.63532,-74.02324,11220,BROOKLYN
40.701042,-73.74636,11411,QUEENS
40.658394,-73.91557,11212,BROOKLYN
40.594334,-73.990944,11214,BROOKLYN
40.72536,-73.99216,10003,MANHATTAN
40.834167,-73.92779,10452,BRONX
40.693287,-73.94114,11206,BROOKLYN
40.60696,-73.97006,11223,BROOKLYN
40.71587,-73.99921,10013,MANHATTAN
40.691277,-73.746254,11411,QUEENS
40.87789,-73.85093,10469,BRONX
40.831924,-73.85104,10462,BRONX
40.68924,-73.96606,11205,BROOKLYN
40.66757,-73.97772,11215,BROOKLYN
40.75696,-73.8387,11354,QUEENS
40.640522,-73.96139,11226,BROOKLYN
40.666233,-73.761,11413,QUEENS
40.729034,-73.74387,11427,QUEENS
40.686905,-73.94463,11216,BROOKLYN
40.668186,-73.74111,11422,QUEENS
40.67046,-73.88788,11207,BROOKLYN
40.689724,-73.734856,11411,QUEENS
40.73118,-73.74631,11427,QUEENS
40.615433,-73.91388,11234,BROOKLYN
40.639984,-73.94842,11226,BROOKLYN
40.789772,-73.97397,10024,MANHATTAN
40.818703,-73.806435,10465,BRONX
40.674576,-73.8432,11417,QUEENS
40.81259,-73.931885,10471,BRONX
40.79925,-73.93907,10035,MANHATTAN
40.695145,-73.860954,11421,QUEENS
40.784184,-73.83641,11356,QUEENS
40.845177,-73.88832,10460,BRONX
40.62204,-74.02574,11209,BROOKLYN
40.55231,-74.19095,10312,STATEN ISLAND
40.59756,-73.97398,11223,BROOKLYN
40.825287,-73.90493,10456,BRONX
40.732594,-73.9953,10003,MANHATTAN
40.857426,-73.89111,10458,BRONX
40.855614,-73.90352,10453,BRONX
40.711815,-73.85953,11374,QUEENS
40.636265,-73.96794,11218,BROOKLYN
40.69607,-73.84341,11418,QUEENS
40.694534,-73.74045,11411,QUEENS
40.853344,-73.881676,10460,BRONX
40.670937,-73.9023,11207,BROOKLYN
40.7429,-73.99281,10010,MANHATTAN
40.704006,-73.74869,11429,QUEENS
40.53968,-74.21768,10309,STATEN ISLAND
40.72546,-73.87734,11379,QUEENS
40.70569,-73.806145,11432,QUEENS
40.70549,-73.77652,11412,QUEENS
40.763054,-73.886734,11370,QUEENS
40.689777,-73.97747,11201,BROOKLYN
40.876442,-73.912834,10463,BRONX
40.735905,-73.9838,10003,MANHATTAN
40.689674,-73.96614,11205,BROOKLYN
40.67974,-73.92214,11233,BROOKLYN
40.75763,-73.82799,11355,QUEENS
40.858253,-73.88452,10458,BRONX
40.66796,-73.87009,11208,BROOKLYN
40.729645,-73.71979,11426,QUEENS
40.776752,-73.897285,11105,QUEENS
40.7124,-73.95136,11211,BROOKLYN
40.7331,-73.80499,11365,QUEENS
40.839767,-73.88787,10460,BRONX
40.785587,-73.98201,10024,MANHATTAN
40.721283,-73.94571,11222,BROOKLYN
40.70461,-73.79701,11433,QUEENS
40.65965,-73.773834,11434,QUEENS
40.64757,-74.08743,10301,STATEN ISLAND
40.671787,-73.90544,11212,BROOKLYN
40.799374,-73.96651,10025,MANHATTAN
40.820305,-73.89083,10459,BRONX
40.532482,-74.2031,10309,STATEN ISLAND
40.85391,-73.89109,10457,BRONX
40.801155,-73.959656,10026,MANHATTAN
40.66254,-73.910866,11212,BROOKLYN
40.744225,-73.97459,10016,MANHATTAN
40.626156,-73.97893,11204,BROOKLYN
40.645023,-74.01322,11220,BROOKLYN
40.675632,-73.89878,11207,BROOKLYN
40.78566,-73.855095,11356,QUEENS
40.84183,-73.88389,10460,BRONX
40.728535,-73.86076,11374,QUEENS
40.683064,-73.74173,11413,QUEENS
40.85365,-73.882744,10458,BRONX
40.67192,-73.99397,11215,BROOKLYN
40.668873,-73.93268,11213,BROOKLYN
40.829136,-73.9114,10456,BRONX
40.817593,-73.816376,10465,BRONX
40.66607,-73.76175,11413,QUEENS
40.71362,-73.91547,11378,QUEENS
