name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
New York,2018-06-01,26.7,17.9,21.6,26.7,17.9,21.6,19.2,86.8,0.282,100,16.67,rain,0,0,83.5,12.6,36.9,1009.6,65.9,11.3,194.0,16.5,9,,2018-06-01T05:27:08,2018-06-01T20:21:01,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-06-02,30.6,20.7,25.1,32.9,20.7,25.9,19.8,74.0,0.346,100,8.33,rain,0,0,55.0,22.3,31.0,1007.6,35.4,15.8,240.4,20.8,9,,2018-06-02T05:26:43,2018-06-02T20:21:44,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-06-03,21.7,12.8,17.0,21.7,12.8,17.0,12.5,75.0,2.929,100,12.5,rain,0,0,35.3,24.1,96.3,1015.8,92.7,15.6,102.2,8.9,3,,2018-06-03T05:26:20,2018-06-03T20:22:26,0.67,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-06-04,23.7,11.7,16.8,23.7,11.7,16.8,12.4,76.6,3.919780487804878,100,41.67,rain,0,0,29.5,16.7,48.8,1009.2,71.6,15.4,226.0,19.4,8,,2018-06-04T05:25:59,2018-06-04T20:23:06,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-06-05,24.2,16.1,19.8,24.2,16.1,19.8,11.7,60.7,0.0,0,0.0,,0,0,37.1,25.9,283.1,1005.6,35.7,16.0,199.7,17.3,9,,2018-06-05T05:25:40,2018-06-05T20:23:45,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417"
New York,2018-06-06,21.7,16.1,18.1,21.7,16.1,18.1,10.9,63.7,0.0,0,0.0,,0,0,,11.3,73.7,1011.2,89.1,15.9,184.2,16.0,8,,2018-06-06T05:25:23,2018-06-06T20:24:23,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-06-07,21.7,16.1,18.0,21.7,16.1,18.0,12.6,71.5,0.0,0,0.0,,0,0,37.1,25.9,159.3,1019.7,65.7,15.9,247.1,21.3,9,,2018-06-07T05:25:08,2018-06-07T20:24:59,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-06-08,27.2,16.2,21.8,27.7,16.2,21.9,15.4,69.1,0.0,0,0.0,,0,0,33.5,16.2,200.6,1020.7,26.3,16.0,243.2,21.0,9,,2018-06-08T05:24:55,2018-06-08T20:25:34,0.83,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-06-09,28.7,20.6,23.5,28.0,20.6,23.4,14.7,59.4,0.0,0,0.0,,0,0,,10.6,15.2,1019.3,9.5,16.0,273.6,23.5,9,,2018-06-09T05:24:44,2018-06-09T20:26:08,0.86,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-06-10,22.2,16.7,20.2,22.2,16.7,20.2,11.3,57.3,0.0,0,0.0,,0,0,,10.1,28.9,1017.8,90.3,16.0,79.2,6.8,2,,2018-06-10T05:24:35,2018-06-10T20:26:39,0.9,Overcast,Cloudy skies throughout the day.,cloudy,"72505394728,72055399999,C9476,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-06-11,22.8,14.4,17.9,22.8,14.4,17.9,10.3,63.4,0.251,100,8.33,rain,0,0,,15.5,86.8,1018.3,30.3,16.0,262.9,22.7,9,,2018-06-11T05:24:28,2018-06-11T20:27:10,0.93,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
