BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,TOTAL_INJURED,TOTAL_KILLED,PEDESTRIANS_INJURED,PEDESTRIANS_KILLED,CYCLIST_INJURED,CYCLIST_KILLED,MOTORIST_INJURED,MOTORIST_KILLED,CONTRIBUTING_FACTOR_VEHICLE1,VEHICLE_TYPE_CODE1,CRASH_DATETIME
BROOKLYN,11218,40.64412,-73.98907,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-05 23:00:00
MANHATTAN,10075.0,40.77364,-73.95986,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Taxi,2018-08-05 16:45:00
MANHATTAN,10017,40.75348,-73.97879,1.0,0.0,1,0,0,0,0,0,Unspecified,Taxi,2018-09-18 13:09:00
MANHATTAN,10022.0,40.757214,-73.97183,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-24 10:05:00
QUEENS,11101,40.752937,-73.92204,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-30 00:50:00
MANHATTAN,10011.0,40.738426,-73.99347,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Taxi,2018-09-25 09:19:00
BROOKLYN,11249.0,40.722286,-73.957466,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Taxi,2018-09-29 00:05:00
BROOKLYN,11231,40.682056,-73.990875,0.0,0.0,0,0,0,0,0,0,Pavement Slippery,Taxi,2018-09-26 23:30:00
MANHATTAN,10032.0,40.836437,-73.946335,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-24 06:40:00
MANHATTAN,10118.0,40.74834,-73.98465,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-28 20:40:00
MANHATTAN,10013.0,40.726437,-74.00566,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Taxi,2018-09-30 17:58:00
QUEENS,11103,40.763893,-73.915,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Taxi,2018-09-22 14:50:00
MANHATTAN,10023,40.774906,-73.97692,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Taxi,2018-09-27 06:20:00
MANHATTAN,10011.0,40.740856,-73.994286,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-29 02:42:00
BRONX,10452.0,40.84543,-73.91399,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Taxi,2018-09-26 16:00:00
MANHATTAN,10001.0,40.748436,-73.9962,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-22 21:45:00
MANHATTAN,10065.0,40.76311,-73.962524,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Taxi,2018-09-23 09:45:00
MANHATTAN,10035.0,40.79957,-73.93017,0.0,0.0,0,0,0,0,0,0,Turning Improperly,Taxi,2018-09-22 18:30:00
BRONX,10468,40.86231,-73.909874,0.0,0.0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Taxi,2018-09-23 12:00:00
