BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,CONTRIBUTING_FACTOR_VEHICLE1,VEHICLE_TYPE_CODE1,CRASH_DATETIME,MONTH,HOUR,DAY_WEEK,DAY,CASUALTIES,icon
BROOKLYN,11218.0,40.64412,-73.98907,Unspecified,Taxi,2018-09-05 23:00:00,September,23,Wednesday,5,No Damage,rain
MANHATTAN,10075.0,40.77364,-73.95986,Driver Inattention/Distraction,Taxi,2018-08-05 16:45:00,August,16,Sunday,5,Injured or Killed,clear
MANHATTAN,10017.0,40.75348,-73.97879,Unspecified,Taxi,2018-09-18 13:09:00,September,13,Tuesday,18,Injured or Killed,rain
MANHATTAN,10022.0,40.757214,-73.97183,Driver Inattention/Distraction,Taxi,2018-09-24 10:05:00,September,10,Monday,24,No Damage,partly-cloudy
QUEENS,11101.0,40.752937,-73.92204,Driver Inattention/Distraction,Taxi,2018-09-30 00:50:00,September,0,Sunday,30,No Damage,clear
MANHATTAN,10011.0,40.738426,-73.99347,Failure to Yield Right-of-Way,Taxi,2018-09-25 09:19:00,September,9,Tuesday,25,No Damage,rain
BROOKLYN,11249.0,40.722286,-73.957466,Passing or Lane Usage Improper,Taxi,2018-09-29 00:05:00,September,0,Saturday,29,No Damage,partly-cloudy
BROOKLYN,11231.0,40.682056,-73.990875,Pavement Slippery,Taxi,2018-09-26 23:30:00,September,23,Wednesday,26,No Damage,rain
MANHATTAN,10032.0,40.836437,-73.946335,Unspecified,Taxi,2018-09-24 06:40:00,September,6,Monday,24,No Damage,partly-cloudy
MANHATTAN,10118.0,40.74834,-73.98465,Driver Inattention/Distraction,Taxi,2018-09-28 20:40:00,September,20,Friday,28,No Damage,rain
MANHATTAN,10013.0,40.726437,-74.00566,Following Too Closely,Taxi,2018-09-30 17:58:00,September,17,Sunday,30,No Damage,clear
QUEENS,11103.0,40.763893,-73.915,Following Too Closely,Taxi,2018-09-22 14:50:00,September,14,Saturday,22,No Damage,rain
MANHATTAN,10023.0,40.774906,-73.97692,Driver Inattention/Distraction,Taxi,2018-09-27 06:20:00,September,6,Thursday,27,Injured or Killed,partly-cloudy
MANHATTAN,10011.0,40.740856,-73.994286,Unspecified,Taxi,2018-09-29 02:42:00,September,2,Saturday,29,No Damage,partly-cloudy
BRONX,10452.0,40.84543,-73.91399,Driver Inattention/Distraction,Taxi,2018-09-26 16:00:00,September,16,Wednesday,26,Injured or Killed,rain
MANHATTAN,10001.0,40.748436,-73.9962,Driver Inattention/Distraction,Taxi,2018-09-22 21:45:00,September,21,Saturday,22,No Damage,rain
MANHATTAN,10065.0,40.76311,-73.962524,Following Too Closely,Taxi,2018-09-23 09:45:00,September,9,Sunday,23,No Damage,partly-cloudy
MANHATTAN,10035.0,40.79957,-73.93017,Turning Improperly,Taxi,2018-09-22 18:30:00,September,18,Saturday,22,No Damage,rain
BRONX,10468.0,40.86231,-73.909874,Reaction to Uninvolved Vehicle,Taxi,2018-09-23 12:00:00,September,12,Sunday,23,No Damage,partly-cloudy
MANHATTAN,10014.0,40.729492,-74.00698,Driver Inattention/Distraction,Taxi,2018-09-25 13:30:00,September,13,Tuesday,25,No Damage,rain
MANHATTAN,10011.0,40.741642,-74.00487,Unsafe Lane Changing,Taxi,2018-09-25 10:00:00,September,10,Tuesday,25,No Damage,rain
MANHATTAN,10115.0,40.818016,-73.96043,Failure to Yield Right-of-Way,Taxi,2018-09-22 00:41:00,September,0,Saturday,22,Injured or Killed,rain
BROOKLYN,11220.0,40.64641,-74.00797,Unspecified,Taxi,2018-09-28 06:40:00,September,6,Friday,28,No Damage,rain
QUEENS,11373.0,40.731277,-73.871574,Following Too Closely,Taxi,2018-09-27 12:00:00,September,12,Thursday,27,No Damage,partly-cloudy
MANHATTAN,10014.0,40.734337,-74.002396,Driver Inattention/Distraction,Taxi,2018-09-29 20:18:00,September,20,Saturday,29,No Damage,partly-cloudy
BRONX,10453.0,40.847317,-73.911476,Driver Inattention/Distraction,Taxi,2018-09-26 23:22:00,September,23,Wednesday,26,No Damage,rain
MANHATTAN,10016.0,40.74788,-73.97543,Driver Inattention/Distraction,Taxi,2018-09-27 01:41:00,September,1,Thursday,27,Injured or Killed,partly-cloudy
QUEENS,11436.0,40.671326,-73.78848,Reaction to Uninvolved Vehicle,Taxi,2018-09-22 07:30:00,September,7,Saturday,22,No Damage,rain
BROOKLYN,11233.0,40.67752,-73.91082,Unspecified,Taxi,2018-09-22 22:30:00,September,22,Saturday,22,No Damage,rain
MANHATTAN,10001.0,40.7448,-73.991425,Driver Inattention/Distraction,Taxi,2018-09-26 14:00:00,September,14,Wednesday,26,No Damage,rain
BROOKLYN,11207.0,40.67046,-73.88788,Traffic Control Disregarded,Taxi,2018-09-25 23:10:00,September,23,Tuesday,25,No Damage,rain
MANHATTAN,10001.0,40.750828,-74.00189,Unsafe Lane Changing,Taxi,2018-09-22 10:50:00,September,10,Saturday,22,No Damage,rain
BRONX,10460.0,40.842255,-73.8684,Unspecified,Taxi,2018-09-24 19:00:00,September,19,Monday,24,No Damage,partly-cloudy
BROOKLYN,11233.0,40.68383,-73.932236,Other Vehicular,Taxi,2018-09-24 09:40:00,September,9,Monday,24,Injured or Killed,partly-cloudy
MANHATTAN,10128.0,40.783245,-73.94473,Driver Inattention/Distraction,Taxi,2018-09-27 14:21:00,September,14,Thursday,27,No Damage,partly-cloudy
MANHATTAN,10033.0,40.84984,-73.934975,Following Too Closely,Ambulance,2018-09-21 10:00:00,September,10,Friday,21,No Damage,rain
MANHATTAN,10031.0,40.82523,-73.94761,Alcohol Involvement,Taxi,2018-09-22 00:30:00,September,0,Saturday,22,No Damage,rain
MANHATTAN,10038.0,40.70953,-74.00842,Failure to Yield Right-of-Way,Taxi,2018-09-30 01:40:00,September,1,Sunday,30,Injured or Killed,clear
QUEENS,11101.0,40.746143,-73.94174,Passing or Lane Usage Improper,Taxi,2018-09-24 06:20:00,September,6,Monday,24,Injured or Killed,partly-cloudy
MANHATTAN,10007.0,40.716534,-74.00668,Following Too Closely,Taxi,2018-09-29 09:38:00,September,9,Saturday,29,No Damage,partly-cloudy
BROOKLYN,11207.0,40.65753,-73.89797,Unspecified,Ambulance,2018-09-23 02:30:00,September,2,Sunday,23,No Damage,partly-cloudy
BROOKLYN,11201.0,40.69212,-73.98435,Failure to Yield Right-of-Way,Taxi,2018-09-26 21:58:00,September,21,Wednesday,26,Injured or Killed,rain
MANHATTAN,10020.0,40.758644,-73.981346,Passing or Lane Usage Improper,Taxi,2018-09-24 09:50:00,September,9,Monday,24,No Damage,partly-cloudy
MANHATTAN,10002.0,40.715893,-73.986496,Following Too Closely,Taxi,2018-09-22 00:11:00,September,0,Saturday,22,No Damage,rain
BROOKLYN,11203.0,40.662395,-73.93735,Passing Too Closely,Taxi,2018-09-25 06:15:00,September,6,Tuesday,25,No Damage,rain
MANHATTAN,10004.0,40.70315,-74.014435,Other Vehicular,Taxi,2018-09-21 10:30:00,September,10,Friday,21,No Damage,rain
MANHATTAN,10023.0,40.774227,-73.98112,Driver Inattention/Distraction,Taxi,2018-09-22 13:22:00,September,13,Saturday,22,No Damage,rain
MANHATTAN,10022.0,40.758488,-73.97514,Obstruction/Debris,Ambulance,2018-09-22 07:06:00,September,7,Saturday,22,No Damage,rain
MANHATTAN,10001.0,40.74658,-73.99756,Passing Too Closely,Taxi,2018-09-25 16:19:00,September,16,Tuesday,25,No Damage,rain
MANHATTAN,10028.0,40.780174,-73.95932,Unspecified,Ambulance,2018-09-28 12:30:00,September,12,Friday,28,No Damage,rain
MANHATTAN,10022.0,40.758007,-73.96625,Unspecified,Taxi,2018-09-23 03:05:00,September,3,Sunday,23,No Damage,partly-cloudy
MANHATTAN,10016.0,40.74137,-73.97252,Unsafe Lane Changing,Taxi,2018-09-28 16:15:00,September,16,Friday,28,No Damage,rain
QUEENS,11427.0,40.71071,-73.793045,Driver Inattention/Distraction,Ambulance,2018-09-26 15:36:00,September,15,Wednesday,26,Injured or Killed,rain
MANHATTAN,10036.0,40.75898,-73.99595,Following Too Closely,Taxi,2018-09-27 20:38:00,September,20,Thursday,27,No Damage,partly-cloudy
QUEENS,11429.0,40.7153,-73.74267,Driver Inattention/Distraction,Taxi,2018-09-24 09:20:00,September,9,Monday,24,Injured or Killed,partly-cloudy
BRONX,10468.0,40.859303,-73.89884,Other Vehicular,Fire truck,2018-09-27 00:00:00,September,0,Thursday,27,Injured or Killed,partly-cloudy
MANHATTAN,10019.0,40.76689,-73.99017,Driver Inexperience,Taxi,2018-09-25 10:55:00,September,10,Tuesday,25,No Damage,rain
MANHATTAN,10012.0,40.724693,-73.99419,Unspecified,Taxi,2018-09-22 16:30:00,September,16,Saturday,22,No Damage,rain
MANHATTAN,10018.0,40.75834,-73.996414,Following Too Closely,Taxi,2018-09-24 01:35:00,September,1,Monday,24,No Damage,partly-cloudy
MANHATTAN,10036.0,40.756035,-73.98695,Unsafe Lane Changing,Taxi,2018-09-24 14:40:00,September,14,Monday,24,No Damage,partly-cloudy
BROOKLYN,11211.0,40.71448,-73.94501,Backing Unsafely,Taxi,2018-09-26 00:00:00,September,0,Wednesday,26,No Damage,rain
MANHATTAN,10002.0,40.72293,-73.98865,Unspecified,Taxi,2018-09-23 00:15:00,September,0,Sunday,23,Injured or Killed,partly-cloudy
MANHATTAN,10003.0,40.73669,-73.99062,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Taxi,2018-09-30 21:20:00,September,21,Sunday,30,Injured or Killed,clear
BROOKLYN,11237.0,40.699238,-73.91429,Tire Failure/Inadequate,Taxi,2018-09-26 23:40:00,September,23,Wednesday,26,No Damage,rain
MANHATTAN,10016.0,40.74788,-73.97543,Traffic Control Disregarded,Taxi,2018-09-29 03:37:00,September,3,Saturday,29,No Damage,partly-cloudy
MANHATTAN,10033.0,40.84554,-73.93278,Unspecified,Taxi,2018-09-26 09:50:00,September,9,Wednesday,26,Injured or Killed,rain
MANHATTAN,10034.0,40.863163,-73.91988,Backing Unsafely,Taxi,2018-09-25 16:20:00,September,16,Tuesday,25,No Damage,rain
